origin,orgin_id,origin_lat,origin_lng,destination,dest_id,dest_lat,dest_lng,frequency
CHHOE-KHORLING,100,26.9113496199756,90.3637872235628,CHHOE-KHORLING,100,26.9113496199756,90.3637872235628,4
JIGMED-LING,115,26.9615548801397,90.3664375969846,CHHOE-KHORLING,100,26.9113496199756,90.3637872235628,1
SAMTENLING,112,26.9075336421577,90.4279703150953,CHHOE-KHORLING,100,26.9113496199756,90.3637872235628,2
CHHOEKHORLING_DECHHEN PELRI,110,26.8934988956985,90.4623562663094,CHHOEKHORLING_DECHHEN PELRI,110,26.8934988956985,90.4623562663094,8
JIGMED-LING,115,26.9615548801397,90.3664375969846,CHHOEKHORLING_DECHHEN PELRI,110,26.8934988956985,90.4623562663094,1
SAMTENLING,112,26.9075336421577,90.4279703150953,CHHOEKHORLING_DECHHEN PELRI,110,26.8934988956985,90.4623562663094,1
TASHILING DEMKHONG,109,26.8804122983268,90.4792047682572,CHHOEKHORLING_DECHHEN PELRI,110,26.8934988956985,90.4623562663094,1
DARGYETHANG,113,26.8561376156358,90.2986828164496,DARGYETHANG,113,26.8561376156358,90.2986828164496,1
DZAMLINGTHANG,114,26.9005933464944,90.4766650361285,DARGYETHANG,113,26.8561376156358,90.2986828164496,1
CHHOEKHORLING_DECHHEN PELRI,110,26.8934988956985,90.4623562663094,DECHHEN PELRI,111,26.9261218023866,90.4572032932377,1
DECHHEN PELRI,111,26.9261218023866,90.4572032932377,DECHHEN PELRI,111,26.9261218023866,90.4572032932377,5
DEKIDLING,101,26.8917148900283,90.3229602951089,DECHHEN PELRI,111,26.9261218023866,90.4572032932377,1
DZAMLINGTHANG,114,26.9005933464944,90.4766650361285,DECHHEN PELRI,111,26.9261218023866,90.4572032932377,1
PELRITHANG KHAMAED,104,26.9071659627371,90.4831527012734,DECHHEN PELRI,111,26.9261218023866,90.4572032932377,1
SAMTENTHANG,118,26.9128842851552,90.4432858171888,DECHHEN PELRI,111,26.9261218023866,90.4572032932377,1
SONAM GATSHEL DEMKHONG,108,26.8666825329793,90.4932315356186,DECHHEN PELRI,111,26.9261218023866,90.4572032932377,2
TASHILING DEMKHONG,109,26.8804122983268,90.4792047682572,DECHHEN PELRI,111,26.9261218023866,90.4572032932377,2
CHHOE-KHORLING,100,26.9113496199756,90.3637872235628,DEKIDLING,101,26.8917148900283,90.3229602951089,1
DECHHEN PELRI,111,26.9261218023866,90.4572032932377,DEKIDLING,101,26.8917148900283,90.3229602951089,1
DEKIDLING,101,26.8917148900283,90.3229602951089,DEKIDLING,101,26.8917148900283,90.3229602951089,11
JIGMED-LING,115,26.9615548801397,90.3664375969846,DEKIDLING,101,26.8917148900283,90.3229602951089,1
NAMKHALING DEMKHONG,103,26.8667883009668,90.4809964296118,DEKIDLING,101,26.8917148900283,90.3229602951089,1
PEMATHANG,120,26.8942073718175,90.4826243932745,DEKIDLING,101,26.8917148900283,90.3229602951089,1
RABDEYLING DEMKHONG,105,26.8819676070786,90.4936854278027,DEKIDLING,101,26.8917148900283,90.3229602951089,1
SAMTENTHANG,118,26.9128842851552,90.4432858171888,DEKIDLING,101,26.8917148900283,90.3229602951089,2
TASHILING DEMKHONG,109,26.8804122983268,90.4792047682572,DEKIDLING,101,26.8917148900283,90.3229602951089,2
DECHHEN PELRI,111,26.9261218023866,90.4572032932377,DZAMLINGTHANG,114,26.9005933464944,90.4766650361285,1
DZAMLINGTHANG,114,26.9005933464944,90.4766650361285,DZAMLINGTHANG,114,26.9005933464944,90.4766650361285,8
CHHOE-KHORLING,100,26.9113496199756,90.3637872235628,JAMPELING DEMKHONG,102,26.8768486346254,90.4986705212685,
CHHOEKHORLING_DECHHEN PELRI,110,26.8934988956985,90.4623562663094,JAMPELING DEMKHONG,102,26.8768486346254,90.4986705212685,4
DECHHEN PELRI,111,26.9261218023866,90.4572032932377,JAMPELING DEMKHONG,102,26.8768486346254,90.4986705212685,2
DEKIDLING,101,26.8917148900283,90.3229602951089,JAMPELING DEMKHONG,102,26.8768486346254,90.4986705212685,3
